16:23:54.453 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest], using SpringBootContextLoader
16:23:54.554 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
16:23:54.557 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest]: CategoryServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:23:54.785 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.Electrostore.ElectrostoreApplication for test class com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest
16:23:55.019 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
16:23:55.047 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@293a5f75, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@fcb4004, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1dd6d4b7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@56e8b606, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2dd29a59, org.springframework.test.context.support.DirtiesContextTestExecutionListener@784c3487, org.springframework.test.context.transaction.TransactionalTestExecutionListener@53142455, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@40dff0b7, org.springframework.test.context.event.EventPublishingTestExecutionListener@7966baa7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@60975100, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1253e7cb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2d36e77e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@61c9c3fd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3b0c9195, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@366c4480]
16:23:55.630 INFO  c.h.E.s.S.CategoryServiceImplTest - Starting CategoryServiceImplTest using Java 17.0.4 on LAPTOP-3MK6RBMS with PID 11288 (started by morek in C:\Users\morek\Desktop\BikkadIT\electro\Electrostore)
16:23:55.631 INFO  c.h.E.s.S.CategoryServiceImplTest - The following 1 profile is active: "dev"
16:23:55.662 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
16:23:57.178 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:23:57.319 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 125 ms. Found 3 JPA repository interfaces.
16:23:59.608 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:23:59.731 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
16:23:59.862 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
16:24:00.379 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:24:01.121 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:24:01.146 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
16:24:02.220 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
16:24:02.234 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:24:04.391 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:24:06.060 INFO  c.h.E.s.S.CategoryServiceImplTest - Started CategoryServiceImplTest in 10.941 seconds (JVM running for 13.107)
16:24:06.393 INFO  c.h.E.s.S.CategoryServiceImpl - creating category ...
16:24:06.474 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
16:24:06.486 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
16:24:06.507 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
16:25:47.373 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest], using SpringBootContextLoader
16:25:47.384 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
16:25:47.385 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest]: CategoryServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:25:47.596 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.Electrostore.ElectrostoreApplication for test class com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest
16:25:47.746 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
16:25:47.780 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@615091b8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4fce136b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4aa83f4f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@43b6123e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@260e86a1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19648c40, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12bd8a64, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@61e94def, org.springframework.test.context.event.EventPublishingTestExecutionListener@3300f4fd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@ebb6851, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@70ab2d48, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b068087, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f152006, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3a393455, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@13518f37]
16:25:48.391 INFO  c.h.E.s.S.CategoryServiceImplTest - Starting CategoryServiceImplTest using Java 17.0.4 on LAPTOP-3MK6RBMS with PID 16344 (started by morek in C:\Users\morek\Desktop\BikkadIT\electro\Electrostore)
16:25:48.393 INFO  c.h.E.s.S.CategoryServiceImplTest - The following 1 profile is active: "dev"
16:25:48.414 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
16:25:49.648 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:25:49.776 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 110 ms. Found 3 JPA repository interfaces.
16:25:51.404 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:25:51.495 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
16:25:51.553 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
16:25:51.751 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16:25:52.096 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16:25:52.112 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
16:25:52.904 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
16:25:52.916 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:25:54.023 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:25:55.105 INFO  c.h.E.s.S.CategoryServiceImplTest - Started CategoryServiceImplTest in 7.214 seconds (JVM running for 8.915)
16:25:55.388 INFO  c.h.E.s.S.CategoryServiceImpl - creating category ...
16:25:55.397 INFO  c.h.E.s.S.CategoryServiceImpl - category created successfully...
16:25:55.496 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
16:25:55.501 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
16:25:55.521 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:31:56.341 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.Electrostore.controller.UserControllerTest], using SpringBootContextLoader
17:31:56.354 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.Electrostore.controller.UserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:31:56.356 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.Electrostore.controller.UserControllerTest]: UserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:31:56.730 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.Electrostore.ElectrostoreApplication for test class com.happytech.Electrostore.controller.UserControllerTest
